Year,State,Q01%,Q02%,Q03%,Q04%,Q08_Mean,Q09%,Q13%,Q14%,Q16%,Q17%,Q18%,Q19%,Q21%,Q22%,Q27%,Q32%,Q33%,Q35_Mean,Q36%,Q37%,Q38%,Q39%,Q40%,Q42%,Q43%,Q44%,Q45%,Q05%,Q07%,Q10%,Q11%,Q12%,Q15%,Q20%,Q34%,Q46%,Mortality_Rate,Deaths,Aqi,Percent!!Population 18 to 24 years!!Bachelor's degree or higher,Percent!!Population 18 to 24 years!!High school graduate (includes equivalency),Percent!!Population 18 to 24 years!!Less than high school graduate,Percent!!Population 18 to 24 years!!Some college or associate's degree,"Percent!!Population 25 years and over!!9th to 12th grade, no diploma",Percent!!Population 25 years and over!!Associate's degree,Percent!!Population 25 years and over!!Bachelor's degree,Percent!!Population 25 years and over!!Graduate or professional degree,Percent!!Population 25 years and over!!High school graduate (includes equivalency),Percent!!Population 25 years and over!!Less than 9th grade,"Percent!!Population 25 years and over!!Some college, no degree",Total!!Population 18 to 24 years!!Bachelor's degree or higher,Total!!Population 18 to 24 years!!High school graduate (includes equivalency),Total!!Population 18 to 24 years!!Less than high school graduate,Total!!Population 18 to 24 years!!Some college or associate's degree,"Total!!Population 25 years and over!!9th to 12th grade, no diploma",Total!!Population 25 years and over!!Associate's degree,Total!!Population 25 years and over!!Bachelor's degree,Total!!Population 25 years and over!!Graduate or professional degree,Total!!Population 25 years and over!!High school graduate (includes equivalency),Total!!Population 25 years and over!!Less than 9th grade,"Total!!Population 25 years and over!!Some college, no degree",Percent!!Population 25 years and over!!Bachelor's degree or higher,Percent!!Population 25 years and over!!High school graduate or higher,Total!!Population 25 years and over!!Bachelor's degree or higher,Total!!Population 25 years and over!!High school graduate or higher
2015,New York,35.1,17.3,11.2,87.0,5.2,58.9,27.9,92.5,32.4,13.3,51.9,,9.0,49.3,16.4,22.8,77.2,5.4,23.1,20.3,73.3,22.9,13.2,45.7,40.5,30.2,32.5,,,,,,,,,,19.9,483,7.935714285714286,15.8,26.2,11.9,46.2,7.4,8.5,20,15,26.5,6.6,16,305770,508223,231056,896102,1012572,1155067,2727078,2051385,3615023,903295,2177053,,,,
2015,North Carolina,22.7,14.0,11.1,89.6,6.0,64.0,32.0,94.4,31.2,15.7,58.4,73.4,7.7,56.9,20.2,27.0,73.0,7.1,,,,,,,45.7,35.2,39.9,,,,,,,,,,32.9,874,8.154166666666665,9.5,30.8,14.2,45.5,8.4,9.2,18.9,10.6,26.4,5,21.5,93967,305851,141265,451025,568846,623813,1277412,713645,1785510,340573,1452845,,,,
2015,North Dakota,33.2,12.5,6.8,90.1,4.2,61.9,34.1,91.0,31.6,15.2,51.3,,12.5,50.5,16.6,20.1,79.9,5.1,,,,,,42.6,39.7,18.3,30.6,,,,,,,,,,12.6,3174,5.766666666666667,13.1,26.3,10.3,50.4,3.8,13.1,21.5,7.7,27.6,3.7,22.7,12220,24590,9624,47163,18826,64255,105625,37778,135670,18142,111721,,,,
2015,Ohio,26.2,12.6,10.7,90.1,5.2,61.0,33.2,92.3,31.3,17.0,47.9,68.9,9.6,52.7,19.4,23.3,76.7,6.6,,,,,,45.5,45.6,30.5,34.8,,,,,,,,,,31.1,4643,10.138095238095238,9.7,32.7,13.7,43.8,7.3,8.6,16.8,10,33.7,3,20.6,105960,355266,149417,476502,579508,679330,1329009,786107,2664823,233766,1623927,,,,
2015,Oklahoma,19.1,10.2,13.2,88.1,6.3,66.1,34.2,90.0,39.0,19.3,57.9,,7.1,57.2,24.1,29.8,70.2,8.5,,,,,,47.6,46.2,34.0,43.8,,,,,,,,,,34.7,1498,7.855555555555554,7.6,32.4,16.9,43.1,8.4,7.4,16.5,8.1,31.6,4.3,23.7,29788,127197,66254,169139,215702,188756,421765,208239,808375,108956,606070,,,,
2015,Oregon,33.0,19.8,11.8,86.4,5.8,67.9,31.5,91.6,22.5,14.5,48.6,,9.6,47.3,25.8,23.8,76.2,6.4,23.0,16.3,74.2,31.8,11.1,42.8,43.3,23.6,34.8,,,,,,,,,,33.0,1652,8.690000000000001,9.7,30.2,15.2,44.9,6.3,8.8,20.2,12,23.4,3.7,25.8,35268,109704,55106,163286,176281,245431,566244,335423,654930,103304,722848,,,,
2015,Pennsylvania,30.3,12.5,9.7,89.1,4.9,62.4,33.9,93.5,32.5,14.9,54.0,,10.4,50.2,17.1,22.9,77.1,5.9,21.1,14.1,74.0,31.5,13.3,,47.3,27.7,32.4,,,,,,,,,,21.0,4012,10.923076923076925,11.8,32.8,12.4,43.1,7,8.3,18.1,11.6,35.7,3.3,16,142774,398081,150500,523401,620062,739478,1611499,1029524,3174802,297088,1423274,,,,
2015,Rhode Island,34.5,15.5,9.9,91.1,5.0,68.3,28.0,95.0,30.0,12.7,55.1,,9.2,51.8,18.7,20.6,79.4,6.0,,,,,,55.4,44.4,27.8,29.2,,,,,,,,,,28.8,453,7.5,13,28.5,9.7,48.7,6.8,8.5,19.3,13.4,28,5.5,18.5,14883,32621,11114,55722,49725,62153,141131,97687,204295,40319,134773,,,,
2015,South Carolina,23.0,11.8,12.5,89.4,6.0,62.0,32.8,92.7,31.4,15.9,52.0,69.4,8.2,58.5,21.7,26.0,74.0,7.4,23.4,17.7,72.4,34.9,10.6,44.2,48.3,35.7,38.6,,,,,,,,,,46.2,2453,7.877777777777778,8.7,33.8,12.8,44.8,9.2,9.4,17.3,9.5,29.4,4.4,20.7,42154,164465,62383,218004,306843,312720,575843,314398,977099,147012,685917,,,,
2015,South Dakota,25.2,10.3,6.0,90.3,4.1,60.5,32.4,90.6,25.8,15.8,61.7,69.9,9.1,47.5,15.2,19.5,80.5,5.3,,,,,,42.1,41.3,22.9,30.4,,,,,,,,,,34.8,421,6.533333333333333,9.7,30.2,14.2,46,5.4,11.1,19.6,7.9,31.2,3.4,21.3,8294,25843,12173,39371,30620,62294,110562,44323,175958,19422,119929,,,,
